acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
"Crédito Rural, Bolsa Família",Filadélfia,1
Não,Caseara,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Palmas,1
"Crédito Rural, Aposentadoria Rural",Gurupi,1
Fomento,Miracema do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, Aposentadoria Rural",Novo Acordo,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis,1
"Merenda Escolar (PENAE), Aposentadoria Rural",Araguaína,1
"Crédito Rural, Bolsa Família",Marianópolis do Tocantins,1
Não,Nova Olinda,1
"Merenda Escolar (PENAE), Bolsa Família",Araguaína,1
"Crédito Rural, Aposentadoria Rural",Chapada da Natividade,1
"Merenda Escolar (PENAE), Aposentadoria Rural",Couto Magalhães,1
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",Santa Maria do Tocantins,1
"Compra Direta (PAA), Aposentadoria Rural",Miracema do Tocantins,1
Compra Direta (PAA),Ipueiras,1
Fomento,Porto Nacional,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",Couto Magalhães,1
"Bolsa Família, Aposentadoria Rural",Nova Olinda,1
Não,Palmeirópolis,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",dois Irmãos do Tocantins,1
"Bolsa Família, Aposentadoria Rural",dois Irmãos do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Santa Maria do Tocantins,1
Bolsa Família,Bom Jesus do Tocantins,1
Compra Direta (PAA),Chapada de Areia,1
"Compra Direta (PAA), Aposentadoria Rural",dois Irmãos do Tocantins,1
"Crédito Rural, Compra Direta (PAA)",Palmeirópolis,1
"Compra Direta (PAA), Aposentadoria Rural",Almas,1
Compra Direta (PAA),Araguatins,1
Não,Colméia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Colméia,1
