atividade_produtiva,municipio_ibge,count
"Mandiocultura, Olericultura",São Miguel do Tocantins,1
"Mandiocultura, Olericultura",Wanderlândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Divinópolis do Tocantins,1
"Mandiocultura, Olericultura",Gurupi,1
"Mandiocultura, Olericultura",Pugmil,1
"Mandiocultura, Olericultura",Silvanópolis,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Gurupi,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Barrolândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Silvanópolis,1
"Bovinocultura de corte, Avicultura, Suinocultura",Dueré,1
"Avicultura, Culturas Anuais",Aragominas,1
"Pisicultura, Mandiocultura",Dianópolis,1
"Bovinocultura de corte, Avicultura, Suinocultura",Peixe,1
Apicultura/meliponicultura,Miracema do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Paraíso do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",,1
"Avicultura, Mandiocultura",Tocantínia,1
"Bovinocultura de corte, Avicultura, Suinocultura",Nova Rosalândia,1
"Bovinocultura de corte, Avicultura, Suinocultura",Riachinho,1
"Avicultura, Mandiocultura",Palmeirópolis,1
"Bovinocultura de corte, Fruticultura",Cristalândia,1
"Bovinocultura de corte, Fruticultura",Aliança do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Alvorada,1
"Avicultura, Mandiocultura",Ananás,1
"Pisicultura, Fruticultura, Olericultura",,1
"Mandiocultura, Fruticultura, Olericultura",Rio da Conceição,1
"Bovinocultura de corte, Avicultura, Suinocultura",Almas,1
"Bovinocultura de corte, Avicultura, Suinocultura",Barrolândia,1
"Bovinocultura de corte, Avicultura, Olericultura",Chapada de Areia,1
"Bovinocultura de corte, Avicultura, Suinocultura",Paranã,1
"Bovinocultura de corte, Avicultura, Suinocultura",dois Irmãos do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Colméia,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",Almas,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",Xambioá,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Chapada de Areia,1
"Mandiocultura, Olericultura",Carmolândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Nova Rosalândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Nova Rosalândia,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Alvorada,1
"Mandiocultura, Olericultura",São Salvador do Tocantins,1
"Bovinocultura de corte, Avicultura, Pisicultura, Fruticultura",Filadélfia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",Araguatins,1
"Avicultura, Suinocultura, Culturas Anuais, Extrativismo Vegetal",Esperantina,1
"Suinocultura, Mandiocultura",Porto Nacional,1
"Bovinocultura de corte, Avicultura, Pisicultura, Culturas Anuais",Rio dos Bois,1
"Bovinocultura de corte, Avicultura, Mandiocultura",Paranã,1
"Bovinocultura de corte, Apicultura/meliponicultura",Divinópolis do Tocantins,1
"Bovinocultura de corte, Avicultura, Agroindústria",Gurupi,1
"Bovinocultura de Leite, Avicultura, Culturas Anuais",Ananás,1
"Bovinocultura de corte, Avicultura, Culturas Anuais",Filadélfia,1
"Bovinocultura de corte, Avicultura, Culturas Anuais",Ananás,1
"Mandiocultura, Culturas Anuais, Extrativismo Vegetal",Xambioá,1
"Bovinocultura de corte, Suinocultura, Mandiocultura",Monte do Carmo,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Tocantínia,1
