,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens
207,1702158.0,Araguanã,Araguaina,Não possui degradação
208,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
209,1709500.0,Gurupi,Gurupi,Pouco degradado
210,1717503.0,Pium,Paraiso,Pouco degradado
211,1709500.0,Gurupi,Gurupi,Pouco degradado
212,1707702.0,Filadélfia,Araguaina,Não possui degradação
213,1702109.0,Araguaína,Araguaina,Pouco degradado
214,1707702.0,Filadélfia,Araguaina,Pouco degradado
215,1701309.0,Aragominas,Araguaina,
216,1701002.0,Ananás,Araguatins,Não possui degradação
217,1715754.0,Palmeirópolis,Gurupi,Pouco degradado
218,1722107.0,Xambioá,Araguaina,Degradação Média
219,1700400.0,Almas,Taguatinga,Não possui degradação
220,1713304.0,Miranorte,Miracema,Não possui degradação
221,1703883.0,Carmolândia,Araguaina,Não possui degradação
222,1707009.0,Dianópolis,Taguatinga,Degradação Média
223,1707306.0,Dueré,Gurupi,Degradação Média
224,1716109.0,Paraíso do Tocantins,Paraiso,Pouco degradado
225,1700707.0,Alvorada,Gurupi,Pouco degradado
226,1700400.0,Almas,Taguatinga,Não possui degradação
227,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
228,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
229,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
230,1716109.0,Paraíso do Tocantins,Paraiso,
231,1717503.0,Pium,Paraiso,Não possui degradação
232,1720853.0,Sucupira,Gurupi,Não possui degradação
233,1707702.0,Filadélfia,Araguaina,Degradação Média
234,1709500.0,Gurupi,Gurupi,Não possui degradação
235,1718865.0,Santa Fé do Araguaia,Araguaina,Degradação Média
236,1718550.0,Riachinho,Araguatins,Não possui degradação
237,1713205.0,Miracema do Tocantins,Porto,Degradação Média
238,1712454.0,Luzinópolis,Araguatins,Degradação Média
239,1702901.0,Axixá do Tocantins,Araguatins,Não possui degradação
240,1713205.0,Miracema do Tocantins,Miracema,Pouco degradado
241,1708254.0,Fortaleza do Tabocão,Miracema,Pouco degradado
242,1713304.0,Miranorte,Miracema,Pouco degradado
243,1720804.0,Sítio Novo do Tocantins,Araguatins,Degradação Média
244,1703883.0,Carmolândia,Araguaina,Pouco degradado
245,1701309.0,Aragominas,Araguaina,Pouco degradado
