,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,degradacao_ord
174,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
175,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
176,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
177,1709302.0,Guaraí,Colinas,pouco degradado,1.0
178,1707702.0,Filadélfia,Araguaina,degradacao media,2.0
179,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
180,1722107.0,Xambioá,Araguaina,pouco degradado,1.0
181,1713809.0,Palmeiras do Tocantins,Araguatins,nao possui degradacao,0.0
182,1722107.0,Xambioá,Araguaina,degradacao media,2.0
183,1700350.0,Aliança do Tocantins,Gurupi,degradacao media,2.0
184,1722107.0,Xambioá,Araguaina,degradacao media,2.0
185,1722107.0,Xambioá,Araguaina,pouco degradado,1.0
186,1722107.0,Xambioá,Araguaina,degradacao media,2.0
187,1710706.0,Itaguatins,Araguatins,pouco degradado,1.0
188,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
189,1711506.0,Jaú do Tocantins,Gurupi,degradacao media,2.0
190,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
191,1715754.0,Palmeirópolis,Gurupi,pouco degradado,1.0
192,1701309.0,Aragominas,Araguaina,degradacao media,2.0
193,1712009.0,Lajeado,Porto,nao possui degradacao,0.0
194,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
195,1711506.0,Jaú do Tocantins,Gurupi,degradacao media,2.0
196,1721109.0,Tocantínia,Miracema,pouco degradado,1.0
197,1722081.0,Wanderlândia,Araguaina,pouco degradado,1.0
198,1707702.0,Filadélfia,Araguaina,pouco degradado,1.0
199,1720853.0,Sucupira,Gurupi,pouco degradado,1.0
200,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
201,1717206.0,Piraquê,Araguaina,pouco degradado,1.0
202,1702109.0,Araguaína,Araguaina,pouco degradado,1.0
203,1717206.0,Piraquê,Araguaina,pouco degradado,1.0
204,1707108.0,Divinópolis do Tocantins,Paraiso,degradacao media,2.0
