municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional,degradacao_ord,pratica_aceiros,pratica_adubação,pratica_adubação verde,pratica_apiário,pratica_calagem,pratica_consórcio,pratica_curva de nível,pratica_descarte correto de embalagens,pratica_floresta,pratica_ilp - integração lavoura pecuária,pratica_ilpf - integração lavoura pecuária,pratica_não usa,pratica_outros,pratica_plantio direto,pratica_reaproveitamento de residuos,pratica_recuperação de pastagens,pratica_rotação de cultura,n_praticas_linha,Sustentaveis_cluster,Dim1,Dim2,Dim3,Dim4,Dim5
Ananás,plantio direto,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Ananás,recuperação de pastagens,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.09447428642954142,-0.10522489085318927,-0.3209751541714551,0.6270721763567503,-0.3741320169289236
Ananás,rotação de cultura,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Angico,aceiros,degradacao media,3,Araguatins,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Angico,aceiros,nao possui degradacao,1,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Angico,adubação,degradacao media,2,Araguatins,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Angico,consórcio,degradacao media,2,Araguatins,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.06896976113974049,-0.01811940039688409,-0.11705991027446616,0.06469999824572982,0.5413274092588569
Angico,consórcio,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.06896976113974049,-0.01811940039688409,-0.11705991027446616,0.06469999824572982,0.5413274092588569
Angico,recuperação de pastagens,degradacao media,1,Araguatins,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.09447428642954142,-0.10522489085318927,-0.3209751541714551,0.6270721763567503,-0.3741320169289236
Angico,rotação de cultura,degradacao media,2,Araguatins,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Angico,rotação de cultura,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Aparecida do Rio Negro,aceiros,nao possui degradacao,1,Porto Nacional,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Aparecida do Rio Negro,adubação,pouco degradado,1,Porto Nacional,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Aparecida do Rio Negro,calagem,nao possui degradacao,1,Porto Nacional,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Aparecida do Rio Negro,calagem,pouco degradado,1,Porto Nacional,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Aparecida do Rio Negro,consórcio,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.06896976113974049,-0.01811940039688409,-0.11705991027446616,0.06469999824572982,0.5413274092588569
Aparecida do Rio Negro,reaproveitamento de residuos,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.0696843817516202,-0.04967668809466139,-0.12327031305520561,0.031073607613986608,0.36520994236573234
Aparecida do Rio Negro,rotação de cultura,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Aragominas,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Aragominas,aceiros,nao possui degradacao,1,Araguína,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Aragominas,aceiros,pouco degradado,5,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Aragominas,adubação,degradacao media,1,Araguína,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Aragominas,plantio direto,pouco degradado,1,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Araguanã,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguanã,aceiros,nao possui degradacao,5,Araguína,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguanã,aceiros,pouco degradado,8,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguanã,adubação,nao possui degradacao,1,Araguína,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Araguanã,adubação,pouco degradado,2,Araguína,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Araguanã,adubação verde,nao possui degradacao,2,Araguína,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.07516767391250062,-0.09575496653963983,-0.1512511619931409,-0.003704071025263965,0.36270783644082866
Araguanã,adubação verde,pouco degradado,3,Araguína,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.07516767391250062,-0.09575496653963983,-0.1512511619931409,-0.003704071025263965,0.36270783644082866
Araguanã,plantio direto,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Araguanã,plantio direto,pouco degradado,2,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Araguanã,rotação de cultura,nao possui degradacao,2,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Araguanã,rotação de cultura,pouco degradado,6,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Araguatins,aceiros,nao possui degradacao,4,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguatins,adubação,nao possui degradacao,3,Araguatins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Araguatins,adubação verde,nao possui degradacao,3,Araguatins,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.07516767391250062,-0.09575496653963983,-0.1512511619931409,-0.003704071025263965,0.36270783644082866
Araguatins,calagem,muito degradado,1,Araguatins,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Araguatins,calagem,nao possui degradacao,2,Araguatins,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Araguatins,consórcio,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.06896976113974049,-0.01811940039688409,-0.11705991027446616,0.06469999824572982,0.5413274092588569
Araguatins,curva de nível,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,-0.047439172610570596,0.07980082223070878,-0.037863151124724465,0.09033049175492801,0.2618110447326251
Araguatins,descarte correto de embalagens,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,-0.07866842664409315,-0.17416126251120403,-0.1710800070244757,-0.0709660601741422,0.1011788019295013
Araguatins,floresta,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-0.06175025090798216,-0.11906690064754244,-0.10455516241940872,-0.034883252280171195,0.03742318280435501
Araguatins,ilp - integração lavoura pecuária,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,-0.073208141205829,-0.22587718096281242,-0.14988222746280447,-0.09779523006262483,-0.051250444703553936
Araguatins,ilpf - integração lavoura pecuária,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1,-0.04833281369100001,0.024310104893036,-0.05052030412254694,0.047743051886553936,0.1623392010233367
Araguatins,não usa,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,-0.05478202609635459,0.026676890990902844,-0.0646336754240477,0.06340537905481924,0.24542262404170165
Araguatins,plantio direto,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Araguatins,reaproveitamento de residuos,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.0696843817516202,-0.04967668809466139,-0.12327031305520561,0.031073607613986608,0.36520994236573234
Araguatins,recuperação de pastagens,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.09447428642954142,-0.10522489085318927,-0.3209751541714551,0.6270721763567503,-0.3741320169289236
Araguatins,recuperação de pastagens,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-0.09447428642954142,-0.10522489085318927,-0.3209751541714551,0.6270721763567503,-0.3741320169289236
Araguatins,rotação de cultura,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Araguatins,rotação de cultura,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,-0.09411943728362396,-0.027575746005633055,-0.348683949838288,-0.5474996364955502,-0.35916581724381713
Araguaçu,aceiros,degradacao media,1,Gurupi,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguaçu,aceiros,nao possui degradacao,1,Gurupi,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0.5206284959134688,0.09710641480346753,0.08125586399151731,-0.0002992757327712586,-0.03865598210052591
Araguaçu,adubação,degradacao media,1,Gurupi,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,-0.28256150635957256,0.49839856047157277,0.19824945416336065,0.00992156234450468,-0.054892814904734674
Araguaçu,calagem,degradacao media,1,Gurupi,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Araguaçu,calagem,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.14778434631594004,-0.41821037772969744,0.4974048807551018,-0.027261765098471263,-0.11921904074742748
Araguaçu,consórcio,pouco degradado,1,Gurupi,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,-0.06896976113974049,-0.01811940039688409,-0.11705991027446616,0.06469999824572982,0.5413274092588569
Araguaçu,curva de nível,degradacao media,1,Gurupi,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,-0.047439172610570596,0.07980082223070878,-0.037863151124724465,0.09033049175492801,0.2618110447326251
Araguaçu,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,-0.05478202609635459,0.026676890990902844,-0.0646336754240477,0.06340537905481924,0.24542262404170165
Araguaçu,plantio direto,degradacao media,1,Gurupi,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.08567494121216766,-0.2064166993573731,-0.21063012868496794,-0.104965197973761,0.1799948984245331
Araguaçu,reaproveitamento de residuos,degradacao media,1,Gurupi,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.0696843817516202,-0.04967668809466139,-0.12327031305520561,0.031073607613986608,0.36520994236573234
Araguaçu,reaproveitamento de residuos,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.0696843817516202,-0.04967668809466139,-0.12327031305520561,0.031073607613986608,0.36520994236573234
