acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Crédito rural,Divinópolis do Tocantins,2
Crédito rural,Santa Fé do Araguaia,2
Compra direta (paa),Nova Rosalândia,2
Crédito rural,Miranorte,2
Crédito rural,dois Irmãos do Tocantins,2
Crédito rural,Aurora do Tocantins,2
Compra direta (paa),Aurora do Tocantins,2
Crédito rural,Axixá do Tocantins,2
Compra direta (paa),Aliança do Tocantins,2
Merenda escolar (penae),Aliança do Tocantins,2
Bolsa família,Araguatins,2
Crédito rural,Couto Magalhães,2
Compra direta (paa),Couto Magalhães,2
Merenda escolar (penae),Couto Magalhães,2
Crédito rural,Nova Olinda,2
Compra direta (paa),Caseara,2
Merenda escolar (penae),Caseara,2
Aposentadoria rural,Caseara,2
Crédito rural,Talismã,2
Aposentadoria rural,Talismã,2
Não,Divinópolis do Tocantins,2
Aposentadoria rural,Xambioá,2
Não,Cristalândia,2
Crédito rural,Gurupi,2
Compra direta (paa),Gurupi,2
Merenda escolar (penae),Gurupi,2
Aposentadoria rural,Gurupi,2
Aposentadoria rural,Piraquê,2
Crédito rural,Araguaína,2
Crédito rural,Piraquê,2
Compra direta (paa),Piraquê,2
Bolsa família,Piraquê,2
Não,Miracema do Tocantins,2
Crédito rural,Palmeiras do Tocantins,2
Bolsa família,Jaú do Tocantins,2
Compra direta (paa),Bom Jesus do Tocantins,2
Merenda escolar (penae),Bom Jesus do Tocantins,2
Fomento,Bom Jesus do Tocantins,2
Compra direta (paa),Rio dos Bois,2
Bolsa família,Rio dos Bois,2
Não,Araguaína,2
Crédito rural,Luzinópolis,2
Compra direta (paa),Luzinópolis,2
Merenda escolar (penae),Luzinópolis,2
Bolsa família,Luzinópolis,2
Não,Angico,2
Crédito rural,Filadélfia,2
Bolsa família,Filadélfia,2
Crédito rural,Palmeiras do Tocantins,2
Compra direta (paa),Palmeiras do Tocantins,2
Merenda escolar (penae),Palmeiras do Tocantins,2
Conab,Palmeiras do Tocantins,2
Fomento,Nova Olinda,2
Bolsa família,Nova Olinda,2
Crédito rural,Cristalândia,2
Aposentadoria rural,Cristalândia,2
Compra direta (paa),Monte do Carmo,1
Bolsa família,Porto Nacional,1
Crédito rural,Axixá do Tocantins,1
Bolsa família,Axixá do Tocantins,1
Bolsa família,Ananás,1
Aposentadoria rural,Ananás,1
Pronaf a,Araguaçu,1
Crédito rural,Riachinho,1
Compra direta (paa),Riachinho,1
Merenda escolar (penae),Riachinho,1
Crédito rural,Xambioá,1
Merenda escolar (penae),Xambioá,1
Bolsa família,Xambioá,1
Crédito rural,Riachinho,1
Compra direta (paa),Riachinho,1
Crédito rural,Pium,1
Compra direta (paa),Pium,1
Compra direta (paa),Pugmil,1
Fomento,Pugmil,1
Bolsa família,Pugmil,1
Bolsa família,Abreulândia,1
Crédito rural,Lajeado,1
Bolsa família,Lajeado,1
Crédito rural,Ipueiras,1
Aposentadoria rural,Ipueiras,1
Não,Miracema do Tocantins,1
Não,Silvanópolis,1
Crédito rural,Axixá do Tocantins,1
Bolsa família,Axixá do Tocantins,1
Fomento,Monte do Carmo,1
Compra direta (paa),Araguanã,1
Compra direta (paa),Nova Rosalândia,1
Fomento,Nova Rosalândia,1
Aposentadoria rural,Cristalândia,1
Compra direta (paa),darcinópolis,1
Crédito rural,Novo Jardim,1
Pncf,Novo Jardim,1
Crédito rural,Chapada de Areia,1
Compra direta (paa),Chapada de Areia,1
Fomento,Araguaína,1
Não,Pugmil,1
Compra direta (paa),Almas,1
Bolsa família,Almas,1
Aposentadoria rural,Almas,1
Compra direta (paa),Palmeirópolis,1
Crédito rural,Divinópolis do Tocantins,1
Compra direta (paa),Divinópolis do Tocantins,1
Merenda escolar (penae),Divinópolis do Tocantins,1
Aposentadoria rural,Divinópolis do Tocantins,1
Compra direta (paa),Gurupi,1
Merenda escolar (penae),Gurupi,1
Bolsa família,Gurupi,1
Caf,Monte do Carmo,1
Crédito rural,Barrolândia,1
Compra direta (paa),Luzinópolis,1
Compra direta (paa),Araguaína,1
Bolsa família,Araguaína,1
Não,Miracema do Tocantins,1
Crédito rural,Monte Santo do Tocantins,1
Aposentadoria rural,Monte Santo do Tocantins,1
Compra direta (paa),Palmeiras do Tocantins,1
Merenda escolar (penae),Palmeiras do Tocantins,1
Bolsa família,Palmeiras do Tocantins,1
Crédito rural,Almas,1
Aposentadoria rural,Almas,1
Aposentadoria rural,Marianópolis do Tocantins,1
Não,Dianópolis,1
Aposentadoria rural,Talismã,1
Compra direta (paa),Miracema do Tocantins,1
Crédito rural,Novo Jardim,1
Compra direta (paa),Fortaleza do Tabocão,1
Merenda escolar (penae),Fortaleza do Tabocão,1
Compra direta (paa),Dianópolis,1
Crédito rural,Barrolândia,1
Compra direta (paa),Barrolândia,1
Merenda escolar (penae),Barrolândia,1
Fomento,Barrolândia,1
Crédito rural,Palmeirópolis,1
Crédito rural,Miranorte,1
Compra direta (paa),Miranorte,1
Aposentadoria rural,Miranorte,1
Não,Dianópolis,1
Programa quintal verde,Aliança do Tocantins,1
Crédito rural,Abreulândia,1
Crédito rural,Pium,1
Bolsa família,Pium,1
Aposentadoria rural,Pium,1
Compra direta (paa),Novo Jardim,1
Merenda escolar (penae),Novo Jardim,1
Pncf,Novo Jardim,1
Não,Paraíso do Tocantins,1
Compra direta (paa),Guaraí,1
Merenda escolar (penae),Guaraí,1
Aposentadoria rural,Guaraí,1
Fomento,Sítio Novo do Tocantins,1
Crédito rural,Palmeiras do Tocantins,1
Compra direta (paa),Palmeiras do Tocantins,1
Merenda escolar (penae),Palmeiras do Tocantins,1
Conab,Palmeiras do Tocantins,1
Merenda escolar (penae),Caseara,1
Bolsa família,Caseara,1
Crédito rural,Aparecida do Rio Negro,1
Bolsa família,Babaçulândia,1
Não,Monte Santo do Tocantins,1
Crédito rural,Guaraí,1
Compra direta (paa),Guaraí,1
Compra direta (paa),Silvanópolis,1
Fomento,Silvanópolis,1
Crédito rural,Guaraí,1
Compra direta (paa),Guaraí,1
Merenda escolar (penae),Guaraí,1
Crédito rural,Angico,1
Compra direta (paa),Angico,1
Merenda escolar (penae),Angico,1
Aposentadoria rural,Angico,1
Bolsa família,Carmolândia,1
Bolsa família,Almas,1
Bolsa família,Marianópolis do Tocantins,1
Pensão inss,Marianópolis do Tocantins,1
Não,Wanderlândia,1
Merenda escolar (penae),Sítio Novo do Tocantins,1
Fomento,Sítio Novo do Tocantins,1
Bolsa família,Sítio Novo do Tocantins,1
Compra direta (paa),Crixás do Tocantins,1
Merenda escolar (penae),Crixás do Tocantins,1
Ater ingena,Lagoa da Confusão,1
Não,Figueirópolis,1
Bolsa família,Caseara,1
Crédito rural,Tupirama,1
Compra direta (paa),Tupirama,1
Fomento,Tupirama,1
Crédito rural,Filadélfia,1
Bolsa família,Filadélfia,1
Não,Caseara,1
Compra direta (paa),Palmas,1
Merenda escolar (penae),Palmas,1
Crédito rural,Gurupi,1
Aposentadoria rural,Gurupi,1
Fomento,Miracema do Tocantins,1
Crédito rural,Novo Acordo,1
Compra direta (paa),Novo Acordo,1
Merenda escolar (penae),Novo Acordo,1
Fomento,Novo Acordo,1
Bolsa família,Novo Acordo,1
Aposentadoria rural,Novo Acordo,1
Crédito rural,Dianópolis,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Merenda escolar (penae),Araguaína,1
Aposentadoria rural,Araguaína,1
Crédito rural,Marianópolis do Tocantins,1
Bolsa família,Marianópolis do Tocantins,1
Não,Nova Olinda,1
Merenda escolar (penae),Araguaína,1
Bolsa família,Araguaína,1
Crédito rural,Chapada da Natividade,1
Aposentadoria rural,Chapada da Natividade,1
Merenda escolar (penae),Couto Magalhães,1
Aposentadoria rural,Couto Magalhães,1
Crédito rural,Santa Maria do Tocantins,1
