municipio_original,atividade_produtiva,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
MARIANOPOLIS DO TOCANTINS,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
CHAPADA DA NATIVIDADE-TO,"Bovinocultura de corte, Mandiocultura",2,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
TABOCÃO,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",2,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
DIANÓPOLIS,"Avicultura, Mandiocultura, Fruticultura, Olericultura",2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
GUARAÍ,Bovinocultura de corte,2,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Talisma,"Bovinocultura de corte, Avicultura",2,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
NOVO JARDIM,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
RIO SONO,"Bovinocultura de corte, Avicultura, Mandiocultura",2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
NOVO JARDIM,Bovinocultura de corte,2,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
Araguaína,"Avicultura, Olericultura",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Cristalandia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
ARAGOMINAS,Bovinocultura de Leite,2,aragominas,17.0,1701309.0,Aragominas,aragominas,,,,,,1701309.0,17.0,Aragominas
Araguaina,"Bovinocultura de Leite, Avicultura",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Miracema do Tocantins,Olericultura,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Nova Rosalãndia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Paraiso do Tocantins,Bovinocultura de corte,2,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Ananás,Bovinocultura de Leite,2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
PALMAS,"Avicultura, Suinocultura",2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
CASEARA,"Avicultura, Culturas Anuais",2,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
MONTE DO CARMO-TO,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",2,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
DIVINÓPOLIS,"Bovinocultura de corte, Avicultura",2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
ALMAS TO,"Avicultura, Mandiocultura",2,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
Miracema do Tocantins,Fruticultura,2,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Piraquê,"Bovinocultura de Leite, Avicultura",2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Araguana,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
LAGOA DA CONFUSÃO - TO,"Mandiocultura, Extrativismo Vegetal",2,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
Ananás,"Avicultura, Mandiocultura, Fruticultura",2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Araguanã,"Bovinocultura de corte, Bovinocultura de Leite",2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
MIRANORTE,"Bovinocultura de Leite, Avicultura",2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
PONTE ALTA DO BOM JESUS,Mandiocultura,2,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
Ananás,"Mandiocultura, Culturas Anuais",2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
FIGUEIRÓPOLIS - TO,"Bovinocultura de corte, Mandiocultura",2,figueiropolis - to,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
SANTA FÉ DO ARAGUAIA,"Bovinocultura de corte, Bovinocultura de Leite",2,santa fe do araguaia,17.0,1718865.0,Santa Fé do Araguaia,santa fe do araguaia,,,,,,1718865.0,17.0,Santa Fé do Araguaia
PARANÃ-TO,"Bovinocultura de corte, Avicultura",2,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Dianópolis,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura",2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Gurupi-TO,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
AXIXÁ DO TOCANTINS,Mandiocultura,2,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
DIVINÓPOLIS,Olericultura,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
pium,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Nova Rosalãndia,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
CHAPADA DE AREIA,"Avicultura, Mandiocultura, Extrativismo Vegetal",2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
MIRANORTE,"Bovinocultura de corte, Avicultura, Suinocultura",2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Piraquê,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Peixe,"Bovinocultura de corte, Fruticultura",2,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
Wanderlândia,"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",2,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
CASEARA-TO,Extrativismo Vegetal,2,caseara-to,,,,,caseara,1703909.0,17.0,Caseara,caseara,1703909.0,17.0,Caseara
São Salvador do Tocantins,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",2,sao salvador do tocantins,17.0,1720259.0,São Salvador do Tocantins,sao salvador do tocantins,,,,,,1720259.0,17.0,São Salvador do Tocantins
Barrolândia,Mandiocultura,2,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
RIO SONO  TO,Bovinocultura de corte,2,rio sono  to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
PARAISO DO TOCANTINS,"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",2,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
PALMEIRAS,Bovinocultura de corte,2,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
PIUM,"Bovinocultura de corte, Avicultura",2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Tocantínia,"Bovinocultura de Leite, Avicultura",2,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
MIRANORTE,Bovinocultura de Leite,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
CHAPADA DE AREIA,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
MIRANORTE,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Xambioá,"Bovinocultura de Leite, Mandiocultura",2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
PALMAS,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Cristalandia,"Bovinocultura de corte, Avicultura, Suinocultura",2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
RIACHINHO,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",2,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
SÍTIO NOVO DO TOCANTINS,"Avicultura, Mandiocultura, Culturas Anuais",2,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
Miranorte,Bovinocultura de Leite,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
RIO DOS BOIS,Fruticultura,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
PALMEIRAS DO TOCANTINS,Bovinocultura de corte,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Xambioá,"Bovinocultura de Leite, Olericultura",2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
PALMAS,"Avicultura, Mandiocultura",2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Miranorte-To,Bovinocultura de corte,2,miranorte-to,,,,,miranorte,1713304.0,17.0,Miranorte,miranorte,1713304.0,17.0,Miranorte
RIO SONO - TO,Fruticultura,2,rio sono - to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
PEDRO AFONSO,Fruticultura,2,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Araguaína,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
FILADÉLFIA,"Bovinocultura de Leite, Avicultura",2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Sucupira-TO,"Bovinocultura de corte, Avicultura, Suinocultura",2,sucupira-to,,,,,sucupira,1720853.0,17.0,Sucupira,sucupira,1720853.0,17.0,Sucupira
Araguaína,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
MIRANORTE,Bovinocultura de corte,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
MIRANORTE,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Gurupi,"Avicultura, Suinocultura, Mandiocultura",1,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
MIRACEMA,Bovinocultura de corte,1,miracema,,,,,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins
Monte Santo,"Bovinocultura de corte, Avicultura, Pisicultura",1,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
Dueré,"Bovinocultura de Leite, Avicultura, Olericultura",1,duere,17.0,1707306.0,Dueré,duere,,,,,,1707306.0,17.0,Dueré
SILVANOPOLIS,"Bovinocultura de corte, Ovinocaprinocultura, Mandiocultura",1,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
Miranorte,"Avicultura, Suinocultura",1,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Miracema Do Tocantins,"Bovinocultura de corte, Avicultura",1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
AXIXA DO TOCANTINS,"Bovinocultura de corte, Bovinocultura de Leite, Olericultura",1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
DIVINOPOLIS,"Bovinocultura de Leite, Avicultura",1,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
PIUM,"Bovinocultura de Leite, Avicultura",1,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Filadélfia,"Bovinocultura de Leite, Avicultura",1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
NOVO JARDIM,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
