municipio_original,enfrenta_dificuldades_para_manter_atividade_produtiva_e_o_atendimento_domestico_em_virtude_de_escass,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Paraíso do Tocantins,Não,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Carmolândia,"Sim, julho a novembro",carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
Almas,"Sim, julho a novembro",almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
ESPERANTINA -TO,Não,esperantina -to,,,,,esperantina,1707405.0,17.0,Esperantina,esperantina,1707405.0,17.0,Esperantina
Piraquê,"Sim, julho a novembro",piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Palmeiras do Tocantins,Não,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Wanderlândia,Não,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
Palmas,Não,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Miracema do Tocantins,Não,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Palmeiras do Tocantins,Não,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Xambioá,"Sim, julho a novembro",xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Peixe,Não,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
RIO DA CONCEOÇÃO,Não,rio da conceocao,,,,,rio da conceicao,1718659.0,17.0,Rio da Conceição,rio da conceicao,1718659.0,17.0,Rio da Conceição
Araguaína,Não,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
FILADÉLFIA,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Filadélfia,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Chapada de Areia,"Sim, julho a novembro",chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
RIO DA CONCEIÇÃO,Não,rio da conceicao,17.0,1718659.0,Rio da Conceição,rio da conceicao,,,,,,1718659.0,17.0,Rio da Conceição
SÃO MIGUEL DO TOCANTINS,Não,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
PALMEIRAS,Não,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
Xambioá,"Sim, julho a novembro",xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Filadélfia,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Dianópolis,Não,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Aguiarnópolis,Não,aguiarnopolis,17.0,1700301.0,Aguiarnópolis,aguiarnopolis,,,,,,1700301.0,17.0,Aguiarnópolis
Tocantínia,Não,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
Chapada de Areia,Não,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Rio dos Bois,Não,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Araguaína,Não,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Palmeiras do Tocantins,Não,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
PALMEIRAS,Não,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
TABOCÃO,Não,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Palmeiras do Tocantins,"Sim, julho a novembro",palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Araguaína,Não,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Gurupi-TO,"Sim, julho a novembro",gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
GUARAÍ,Não,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Guaraí,Não,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
DIANÓPOLIS,FALTA DE ENERGIA PARA DISTRIBUIÇÃO DE AGUA MECANIZADA,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Pium,"Sim, julho a novembro",pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
DOIS IRMAOS,Não,dois irmaos,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
ARAGOMINAS -TO,"Sim, julho a novembro",aragominas -to,,,,,aragominas,1701309.0,17.0,Aragominas,aragominas,1701309.0,17.0,Aragominas
FILADÉLFIA,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Pedro Afonso,Não,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
Wandrlãndia,Não,wandrlandia,,,,,wanderlandia,1722081.0,17.0,Wanderlândia,wanderlandia,1722081.0,17.0,Wanderlândia
Xambioá,Não,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
FILADÉLFIA,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Ananás,Não,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
LUZINOPOLIS-TO,Não,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
Almas,"Sim, julho a novembro",almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
LUZINÓPOLIS,Não,luzinopolis,17.0,1712454.0,Luzinópolis,luzinopolis,,,,,,1712454.0,17.0,Luzinópolis
PARANÃ-TO,Não,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
FILADÉLFIA,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Cristalândia,"Sim, julho a novembro",cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
Pium,Não,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Palmas,"Sim, julho a novembro",palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Esperantina,"Sim, o ano todo",esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
Miranorte,Não,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Gurupi-TO,"Sim, julho a novembro",gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Ananás,Não,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Miranorte,Não,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
MONTE DO CARMO -TO.,Não,monte do carmo -to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Almas,"Sim, julho a novembro",almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
Gurupi,"Sim, julho a novembro",gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
MONTE DO CARMO-TO,"Sim, julho a novembro",monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Araguaína,"Sim, o ano todo",araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"P.A Tamboril, Angico - TO",Não,"p.a tamboril, angico - to",,,,,angico,1701051.0,17.0,Angico,angico,1701051.0,17.0,Angico
Pium,"Sim, julho a novembro",pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Nova Olinda,"Sim, julho a novembro",nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
BABAÇULÂNDIA,"Sim, julho a novembro",babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
CARMOLÂNDIA,"Sim, julho a novembro",carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
DIANÓPOLIS,"Sim, julho a novembro",dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Santa Maria do Tocantins,Não,santa maria do tocantins,17.0,1718881.0,Santa Maria do Tocantins,santa maria do tocantins,,,,,,1718881.0,17.0,Santa Maria do Tocantins
Paraíso do Tocantins,Não,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
PARANÃ TO,"Sim, julho a novembro",parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Paraíso do Tocantins,Não,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Piraquê,Não,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
NOVA OLINDA - TO,Não,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
NOVA OLINDA - TO,Não,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
PORTO NACIONAL - TO,Não,porto nacional - to,,,,,porto nacional,1718204.0,17.0,Porto Nacional,porto nacional,1718204.0,17.0,Porto Nacional
Araguatins,Não,araguatins,17.0,1702208.0,Araguatins,araguatins,,,,,,1702208.0,17.0,Araguatins
Filadelfia -TO,Não,filadelfia -to,,,,,filadelfia,1707702.0,17.0,Filadélfia,filadelfia,1707702.0,17.0,Filadélfia
Araguaçu,"Sim, julho a novembro",araguacu,17.0,1702000.0,Araguaçu,araguacu,,,,,,1702000.0,17.0,Araguaçu
