Unnamed: 0,municipio_original,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
57,Wanderlândia,Araguaina,,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
58,Almas,Taguatinga,,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
59,FIGUEIRÓPOLIS - TO.,Gurupi,,figueiropolis - to.,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
60,BABAÇULANDIA,Araguaina,,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
61,MARIANÓPOLIS DO TOCANTINS,Paraiso,,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
62,SÍTIO NOVO DO TOCANTINS,Araguatins,,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
63,Babaçulândia,Araguaina,,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
64,Pium,Paraiso,,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
65,Chapada de Areia,Paraiso,,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
66,Chapada de Areia,Paraiso,,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
67,Angico,Araguatins,,angico,17.0,1701051.0,Angico,angico,,,,,,1701051.0,17.0,Angico
68,Paraíso do Tocantins,Paraiso,,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
69,Carmolândia,Araguaina,,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
70,Almas,Taguatinga,,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
71,ESPERANTINA -TO,Araguatins,,esperantina -to,,,,,esperantina,1707405.0,17.0,Esperantina,esperantina,1707405.0,17.0,Esperantina
72,Piraquê,Araguaina,Não possui degradação,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
73,Palmeiras do Tocantins,Araguatins,,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
74,Wanderlândia,Araguaina,,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
75,Palmas,Porto,,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
76,Miracema do Tocantins,Miracema,,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
77,Palmeiras do Tocantins,Araguatins,,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
78,Xambioá,Araguaina,,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
79,Peixe,Gurupi,,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
80,RIO DA CONCEOÇÃO,Taguatinga,,rio da conceocao,,,,,rio da conceicao,1718659.0,17.0,Rio da Conceição,rio da conceicao,1718659.0,17.0,Rio da Conceição
81,Araguaína,Araguaina,,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
82,FILADÉLFIA,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
83,Filadélfia,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
84,Chapada de Areia,Paraiso,,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
85,RIO DA CONCEIÇÃO,Taguatinga,Pouco degradado,rio da conceicao,17.0,1718659.0,Rio da Conceição,rio da conceicao,,,,,,1718659.0,17.0,Rio da Conceição
86,SÃO MIGUEL DO TOCANTINS,Araguatins,,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
87,PALMEIRAS,Araguatins,,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
88,Xambioá,Araguaina,,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
89,Filadélfia,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
90,Dianópolis,Taguatinga,,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
91,Aguiarnópolis,Araguatins,,aguiarnopolis,17.0,1700301.0,Aguiarnópolis,aguiarnopolis,,,,,,1700301.0,17.0,Aguiarnópolis
92,Tocantínia,Miracema,,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
93,Chapada de Areia,Paraiso,,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
94,Rio dos Bois,Miracema,,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
95,Araguaína,Araguaina,,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
96,Palmeiras do Tocantins,Araguatins,,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
