area_da_propriedade__hectares__,atividade_produtiva,Record Count
10 - 20 ha,"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura",2
5 - 10 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",2
10 - 20 ha,"Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",2
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",2
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",2
5 - 10 ha,"Avicultura, Suinocultura",2
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",2
20 - 50 ha,"Avicultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",2
10 - 20 ha,"Bovinocultura de Leite, Mandiocultura, Olericultura",2
10 - 20 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura",2
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura",2
100 - 200 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",2
5 - 10 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",2
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura",2
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",2
10 - 20 ha,"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",2
50 - 100 ha,"Bovinocultura de Leite, Mandiocultura",2
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",2
20 - 50 ha,"Pisicultura, Mandiocultura, Fruticultura, Olericultura",2
50 - 100 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura",2
Até 1 ha,"Mandiocultura, Olericultura",2
10 - 20 ha,"Bovinocultura de corte, Fruticultura, Olericultura",2
50 - 100 ha,"Bovinocultura de corte, Avicultura, Fruticultura",2
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura",2
5 - 10 ha,"Avicultura, Olericultura",2
1 - 5 ha,"Avicultura, Pisicultura",2
20 - 50 ha,"Bovinocultura de corte, Avicultura, Pisicultura",2
Até 1 ha,Extrativismo Vegetal,2
10 - 20 ha,"Mandiocultura, Olericultura",2
5 - 10 ha,"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",2
1 - 5 ha,"Avicultura, Suinocultura, Olericultura",2
20 - 50 ha,"Avicultura, Mandiocultura, Olericultura",2
10 - 20 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",2
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura",2
200 - 320 ha,"Bovinocultura de corte, Avicultura, Suinocultura",2
100 - 200 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",2
1 - 5 ha,"Mandiocultura, Fruticultura",2
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura",2
1 - 5 ha,"Bovinocultura de corte, Mandiocultura",2
1 - 5 ha,"Avicultura, Suinocultura, Fruticultura, Extrativismo Vegetal",2
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",2
100 - 200 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",2
50 - 100 ha,"Bovinocultura de corte, Mandiocultura",2
5 - 10 ha,"Avicultura, Olericultura, Culturas Anuais",2
1 - 5 ha,"Avicultura, Olericultura",2
10 - 20 ha,"Bovinocultura de Leite, Culturas Anuais",2
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",2
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Olericultura",2
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",2
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",2
20 - 50 ha,"Bovinocultura de corte, Mandiocultura, Culturas Anuais",2
20 - 50 ha,"Bovinocultura de Leite, Pisicultura",2
50 - 100 ha,"Bovinocultura de corte, Mandiocultura, Fruticultura",2
5 - 10 ha,Avicultura,2
1 - 5 ha,"Avicultura, Suinocultura, Mandiocultura, Olericultura",2
5 - 10 ha,"Mandiocultura, Fruticultura",2
