area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
10 - 20 ha,Gurupi,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",2
5 - 10 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",2
10 - 20 ha,Araguaina,"Roça de toco, Plantio convencional, Queimadas, Monocultura",2
200 - 320 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",2
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",2
10 - 20 ha,Colinas,"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",2
10 - 20 ha,Araguatins,"Plantio convencional, Aração e gradagem",2
10 - 20 ha,Miracema,"Plantio convencional, Aração e gradagem, Pastagem nativa",2
1 - 5 ha,Araguatins,Plantio convencional,2
1 - 5 ha,Taguatinga,"Roça de toco, Plantio convencional",2
5 - 10 ha,Taguatinga,"Roça de toco, Pastagem nativa",2
20 - 50 ha,Araguatins,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",2
20 - 50 ha,Taguatinga,Não usa,2
20 - 50 ha,Paraiso,"Aração e gradagem, Queimadas, Uso de agrotóxicos",2
10 - 20 ha,Paraiso,Pastagem nativa,2
5 - 10 ha,Paraiso,"Plantio convencional, Aração e gradagem",2
50 - 100 ha,Taguatinga,"Roça de toco, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Taguatinga,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Miracema,Plantio convencional,1
5 - 10 ha,Paraiso,"Plantio convencional, Uso de agrotóxicos",1
20 - 50 ha,Porto,Não usa,1
20 - 50 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
10 - 20 ha,Miracema,Uso de agrotóxicos,1
1 - 5 ha,Porto,"Aração e gradagem, Queimadas",1
5 - 10 ha,Taguatinga,"Aração e gradagem, Uso de agrotóxicos",1
20 - 50 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Monocultura",1
1 - 5 ha,Colinas,"Plantio convencional, Uso de agrotóxicos",1
1 - 5 ha,Araguaina,"Roça de toco, Plantio convencional",1
5 - 10 ha,Taguatinga,"Plantio convencional, Aração e gradagem, PRODUTO NATURAL PARA CONTROLE DE PRAGAS E DOENÇAS.",1
1 - 5 ha,Miracema,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
