codigo_ibge,municipio_ibge,n_obs,prop_pratica_aceiros,prop_pratica_adubação,prop_pratica_adubação verde,prop_pratica_apiário,prop_pratica_calagem,prop_pratica_consórcio,prop_pratica_curva de nível,prop_pratica_descarte correto de embalagens,prop_pratica_floresta,prop_pratica_ilp - integração lavoura pecuária,prop_pratica_ilpf - integração lavoura pecuária,prop_pratica_não usa,prop_pratica_outros,prop_pratica_plantio direto,prop_pratica_reaproveitamento de residuos,prop_pratica_recuperação de pastagens,prop_pratica_rotação de cultura,prop_any_pratica,mean_n_praticas
Porto Alegre do Tocantins,Porto Alegre do Tocantins,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Praia Norte,Praia Norte,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0
Pugmil,Pugmil,16,0.125,0.125,0.0625,0.0,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.125,0.0625,0.125,0.125,1.0,1.0
Riachinho,Riachinho,16,0.125,0.125,0.0,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.125,0.125,1.0,1.0
Rio Sono,Rio Sono,9,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,1.0,1.0
Rio da Conceição,Rio da Conceição,12,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,1.0,1.0
Rio dos Bois,Rio dos Bois,10,0.2,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0
Santa Fé do Araguaia,Santa Fé do Araguaia,9,0.3333333333333333,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,1.0
Santa Maria do Tocantins,Santa Maria do Tocantins,4,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0
Santa Rita do Tocantins,Santa Rita do Tocantins,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Santa Terezinha do Tocantins,Santa Terezinha do Tocantins,8,0.375,0.25,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Silvanópolis,Silvanópolis,14,0.21428571428571427,0.21428571428571427,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,1.0,1.0
Sucupira,Sucupira,6,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
São Bento do Tocantins,São Bento do Tocantins,7,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1.0,1.0
São Miguel do Tocantins,São Miguel do Tocantins,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
São Salvador do Tocantins,São Salvador do Tocantins,8,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sítio Novo do Tocantins,Sítio Novo do Tocantins,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0
Talismã,Talismã,6,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0
Tocantínia,Tocantínia,12,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,1.0,1.0
Tupirama,Tupirama,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Wanderlândia,Wanderlândia,9,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,1.0,1.0
Xambioá,Xambioá,19,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0,0.10526315789473684,0.0,0.15789473684210525,0.10526315789473684,1.0,1.0
darcinópolis,darcinópolis,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,1.0
dois Irmãos do Tocantins,dois Irmãos do Tocantins,11,0.2727272727272727,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,1.0,1.0
